name,category,subcategory,brand,description,image_url,tags,status
Baladeze me 4 priza 30m 3×1.5mm i zi me mbrojtje termale dhe kapak izolimi nga lageshtia IP44,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310531/nearbuy/products/baladeze_me_4_priza_30m_3_1_5mm_i_zi_me_mbroj_23.png,elektrik,active
Baladeze me 4 priza 30m 3×1.5mm kabull i zi me mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310537/nearbuy/products/baladeze_me_4_priza_30m_3_1_5mm_kabull_i_zi_m_24.png,elektrik,active
Baladeze me 4 priza 20m 3×2.5mm i zi me mbrojtje termale dhe kapak izolimi nga lageshtia IP44,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310543/nearbuy/products/baladeze_me_4_priza_20m_3_2_5mm_i_zi_me_mbroj_25.png,elektrik,active
"Prozhektor 200W, 6500 K",Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310549/nearbuy/products/prozhektor_200w__6500_k_26.png,elektrik,active
Baladeze me 4 priza 20m 3×2.5mm kabull i zi me mbrojtje termale IP20 pa kapak,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310554/nearbuy/products/baladeze_me_4_priza_20m_3_2_5mm_kabull_i_zi_m_27.png,elektrik,active
"Baladeze metalik me 4 priza me kapak 20m 3×1.5mm i gomuar, IP44",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310560/nearbuy/products/baladeze_metalik_me_4_priza_me_kapak_20m_3_1__28.png,elektrik,active
Prozhektor kantieri led me sensor 50W,Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310565/nearbuy/products/prozhektor_kantieri_led_me_sensor_50w_29.jpg,elektrik,active
"Baladeze me 4 priza me kapak 25m 3×1.5mm i gomuar, IP44",Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310570/nearbuy/products/baladeze_me_4_priza_me_kapak_25m_3_1_5mm_i_go_30.png,elektrik,active
"Prozhekor LED SMD, 200 W",Elektrik,Prozhektor,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310576/nearbuy/products/prozhekor_led_smd__200_w_31.png,elektrik,active
Baladeze me 4 priza 20m 3×1.5mm portokalli,Elektrik,Çelësa & Prize,,,https://res.cloudinary.com/dvqcrh4qf/image/upload/v1779310582/nearbuy/products/baladeze_me_4_priza_20m_3_1_5mm_portokalli_32.png,elektrik,active
